location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR(10yr)
ngc5904,7,0.20232501,0.91625543,12.472309,12.376685,0.671235609826657
ngc6402,8.4,0.041654992,0.42562971,11.716495,13.329544,0.605306738485127
ngc362,8,0.20232501,0.91625543,12.472309,12.376685,0.587331158598326
ngc362,8,0.20232501,0.91625543,12.472309,12.376685,0.587331158598326
ngc6388,10.9,0.38579739,0.95046163,18.15287,17.880498,0.549503560937531
ngc6715,25.4,0.13558977,0.8560766,19.041063,18.521494,0.541289999426991
ngc6715,25.4,0.13558977,0.8560766,19.041063,18.521494,0.541289999426991
ngc7078,10,0.28053854,0.91343945,20.091546,19.589402,0.495262404230773
ngc6441,9.2,0.58370286,0.96706162,18.15287,17.880498,0.470833653297044
ngc6139,9.1,0.13746859,0.88803106,11.22805,8.5525656,0.461138678591793
ngc7078,10,0.52316969,0.96118874,19.041063,18.521494,0.453104692755948
ngc6864,17.7,0.11321615,0.86476686,12.098974,11.154344,0.447470505931754
ngc6517,10.1,0.13746859,0.88803106,11.22805,8.5525656,0.415481383681714
ngc6517,10.1,0.13746859,0.88803106,11.22805,8.5525656,0.415481383681714
ngc6541,7.2,3.9056614,0.99801138,11.08912,11.929645,0.412280251180342
ngc6553,4.1,0.11284229,0.84279791,7.4728208,7.9253865,0.382631758863892
ngc6553,4.1,0.11284229,0.84279791,7.4728208,7.9253865,0.382631758863892
ngc6441,9.2,0.55871601,0.96452452,13.665796,20.557681,0.369132451074314
ngc5272,9.7,0.18614593,0.8383201,13.294285,28.189085,0.346249592767886
ngc6356,13.8,0.20232501,0.91625543,12.472309,12.376685,0.340481831071493
ngc6356,13.8,0.20232501,0.91625543,12.472309,12.376685,0.340481831071493
ngc5986,10,0.18614593,0.8383201,13.294285,28.189085,0.335862104984849
ngc5986,10,0.18614593,0.8383201,13.294285,28.189085,0.335862104984849
ngc6779,9.7,0.44678329,0.95496708,17.13311,13.975247,0.310263263951673
ngc6273,8.3,0.44142563,0.9605623,11.716495,13.329544,0.299707334908278
ngc6273,8.3,0.44142563,0.9605623,11.716495,13.329544,0.299707334908278
ngc104,4.1,0.61231316,0.95293042,17.104374,18.781211,0.294600799666399
ngc6517,10.1,3.9056614,0.99801138,11.08912,11.929645,0.293902753316679
ngc6205,6.8,0.16673622,0.76718868,16.123803,28.189085,0.291455508396243
ngc5986,10,0.22870261,0.8681624,13.294285,28.189085,0.288074656357374
ngc2808,8.9,0.47318037,0.95136309,13.665796,20.557681,0.277681064053178
ngc6316,10.9,3.9056614,0.99801138,11.08912,11.929645,0.272331909036556
ngc5139,4.9,0.27933239,0.88097198,17.741906,17.981941,0.268792765819622
ngc6864,17.7,0.20232501,0.91625543,12.472309,12.376685,0.26546041066591
ngc6864,17.7,0.20232501,0.91625543,12.472309,12.376685,0.26546041066591
ngc6864,17.7,0.20232501,0.91625543,12.472309,12.376685,0.26546041066591
ngc2419,90.4,0.46137434,0.97430833,20.572201,19.255507,0.264742334588692
ngc7089,11.1,0.22870261,0.8681624,13.294285,28.189085,0.259526717439076
ngc5139,4.9,0.29229151,0.88602651,17.741906,17.981941,0.258448184230738
Djor2,13.2,0.18614593,0.8383201,13.294285,28.189085,0.254440988624886
pal_6,6.2,0.11284229,0.84279791,7.4728208,7.9253865,0.253030679248703
pal_6,6.2,0.11284229,0.84279791,7.4728208,7.9253865,0.253030679248703
ngc6553,4.1,0.15872244,0.87904206,7.4728208,7.9253865,0.233665597598597
ngc6553,4.1,0.15872244,0.87904206,7.4728208,7.9253865,0.233665597598597
ngc6553,4.1,0.15872244,0.87904206,7.4728208,7.9253865,0.233665597598597
Djor2,13.2,0.22870261,0.8681624,13.294285,28.189085,0.218238376028314
Djor1,8.8,0.36148361,0.93806519,13.787359,13.549941,0.200775760271964
Djor1,8.8,0.1724546,0.846217,13.787359,13.549941,0.200646829840216
ngc5986,10,0.16673622,0.76718868,16.123803,28.189085,0.198189745709446
ngc5139,4.9,0.41867638,0.91898729,19.087006,16.587566,0.185746216606302
ngc5904,7,0.24117862,0.89287959,11.80755,14.001495,0.18037932232969
ngc5139,4.9,1.4858342,0.98122876,14.883745,24.711682,0.17834887599318
ngc5139,4.9,0.45390632,0.92510474,19.087006,16.587566,0.174498958064226
ngc5824,32.2,0.092261053,0.81155488,11.506553,10.503767,0.16933059194584
ngc5024,18.1,0.27572435,0.92056293,13.38759,16.758747,0.167675036134734
pal_6,6.2,0.15872244,0.87904206,7.4728208,7.9253865,0.154520798411975
pal_6,6.2,0.15872244,0.87904206,7.4728208,7.9253865,0.154520798411975
ngc5024,18.1,1.0406793,0.98432595,15.027593,13.553858,0.126688231470638
ngc1851,11.7,0.24571438,0.89931606,13.217814,12.306877,0.119243508127094
ngc5024,18.1,0.42511023,0.94795561,13.38759,16.758747,0.11814204707678
ngc5024,18.1,0.42511023,0.94795561,13.38759,16.758747,0.11814204707678
ngc5286,11.3,0.24117862,0.89287959,11.80755,14.001495,0.111739403213082
ngc6388,10.9,0.61231316,0.95293042,17.104374,18.781211,0.110813144828646
ngc6388,10.9,0.54402145,0.92154991,18.336745,34.500001,0.0952682268607638
ngc6356,13.8,0.24117862,0.89287959,11.80755,14.001495,0.0914967577034659
ngc7078,10,0.49546991,0.93846107,13.773789,19.399283,0.0903403204710639
ngc2419,90.4,0.579213,0.96466666,25.647579,20.968301,0.0834542185804001
ngc6388,10.9,0.49546991,0.93846107,13.773789,19.399283,0.0828810279551045
ngc7078,10,0.55104033,0.94454392,13.773789,19.399283,0.0827547664002501
ngc6779,9.7,0.21994842,0.81637862,10.938384,26.941106,0.0803380533574048
ngc6779,9.7,0.21994842,0.81637862,10.938384,26.941106,0.0803380533574048
ngc6779,9.7,0.21994842,0.81637862,10.938384,26.941106,0.0803380533574048
ngc5139,4.9,0.2604006,0.81391226,18.47032,17.787918,0.077627012683893
ngc2808,8.9,0.63791048,0.95371866,14.866223,15.995417,0.0774537863305046
ngc6266,6.6,0.13733122,0.51889348,17.946552,34.500001,0.0771285063389391
ngc2808,8.9,0.43783856,0.91652178,17.477457,17.781952,0.0743031443211808
ngc6388,10.9,1.4223779,0.97859747,19.960186,18.600139,0.0615388272957536
ngc6388,10.9,0.43783856,0.91652178,17.477457,17.781952,0.0606695398585788
ngc2808,8.9,0.60683848,0.94705414,14.866223,15.995417,0.0606364034985788
ngc2808,8.9,0.3430166,0.87592526,18.130252,18.229019,0.056981975427831
ngc6441,9.2,0.33584168,0.8733995,18.130252,18.229019,0.0561562508202506
ngc6266,6.6,0.93430711,0.9560822,19.290122,19.16144,0.050297690249975
ngc4372,4.6,2.3248541,0.98650714,13.769064,17.87054,0.0496801456531814
ngc4372,4.6,2.3248541,0.98650714,13.769064,17.87054,0.0496801456531814
ngc6553,4.1,0.19691722,0.84821618,8.2152713,7.5395583,0.0485892989684911
ngc1851,11.7,0.5982159,0.95717908,13.755997,10.472543,0.0467074108577108
ngc6254,4.1,0.24912778,0.79401428,16.283503,13.537561,0.0414984667329105
ngc104,4.1,0.33807907,0.83970921,13.665796,20.557681,0.0409437481713066
ngc104,4.1,0.34118911,0.84108182,13.665796,20.557681,0.0405998488618574
ngc104,4.1,0.34736864,0.85193904,15.164972,16.633379,0.0403138961675584
ngc4833,5.7,2.3248541,0.98650714,13.769064,17.87054,0.0400927491236201
ngc6341,8,0.24296392,0.89734911,9.5015537,6.3775923,0.0395288139502578
ngc362,8,0.24296392,0.89734911,9.5015537,6.3775923,0.0395288139502578
ngc104,4.1,0.50914831,0.89559954,16.660664,18.753754,0.0383621437117704
ngc1851,11.7,0.4186224,0.92350152,12.954063,13.301123,0.0375411985833737
ngc1851,11.7,0.4186224,0.92350152,12.954063,13.301123,0.0375411985833737
ngc2808,8.9,0.54158459,0.92457616,17.69228,15.78412,0.036807715782128
ngc6441,9.2,0.53323523,0.92342785,17.69228,15.78412,0.036064297468169
ngc6441,9.2,0.54861036,0.92551609,17.69228,15.78412,0.0352366090996066
ngc6715,25.4,0.52467363,0.94181502,13.773789,19.399283,0.0339180270154424
ngc6715,25.4,0.64475487,0.93250208,18.336745,34.500001,0.0337408992792697
ngc6715,25.4,0.64475487,0.93250208,18.336745,34.500001,0.0337408992792697
ngc7078,10,0.54158459,0.92457616,17.69228,15.78412,0.0327588670460939
pal_6,6.2,0.19691722,0.84821618,8.2152713,7.5395583,0.0321316331888409
pal_6,6.2,0.19691722,0.84821618,8.2152713,7.5395583,0.0321316331888409
ngc6218,5.4,0.24912778,0.79401428,16.283503,13.537561,0.0315080951120246
ngc4372,4.6,2.2907924,0.98344801,13.970365,18.539593,0.0285400826497042
ngc6266,6.6,0.33215946,0.84555624,15.164972,16.633379,0.0260854544416527
ngc6266,6.6,0.33870107,0.84836755,15.164972,16.633379,0.0256252341801876
ngc6656,3.1,0.23685954,0.66156485,13.294285,28.189085,0.0253797251348256
ngc6266,6.6,0.34953118,0.85280413,15.164972,16.633379,0.0249030497171948
ngc6266,6.6,0.34953118,0.85280413,15.164972,16.633379,0.0249030497171948
ngc6584,12.5,2.9050986,0.99120207,13.818573,15.729059,0.0248349788652176
ngc6218,5.4,0.39288021,0.86583973,15.699217,15.73559,0.0247698159275622
ngc6218,5.4,0.39288021,0.86583973,15.699217,15.73559,0.0247698159275622
ngc6779,9.7,0.63253132,0.9279803,10.938384,26.941106,0.0247104065630246
ngc6779,9.7,0.63253132,0.9279803,10.938384,26.941106,0.0247104065630246
ngc5927,7,0.24912778,0.79401428,16.283503,13.537561,0.0243062448007047
ngc6266,6.6,0.50914831,0.89559954,16.660664,18.753754,0.0238310286694331
ngc4590,9.9,2.3248541,0.98650714,13.769064,17.87054,0.0230837040408722
ngc4590,9.9,2.3248541,0.98650714,13.769064,17.87054,0.0230837040408722
ngc4833,5.7,2.2907924,0.98344801,13.970365,18.539593,0.0230323474015157
ngc6715,25.4,0.34363363,0.89079006,19.16144,13.696489,0.0221545015822972
ngc2419,90.4,0.62483554,0.9584595,18.963274,19.244344,0.0221481249402835
ngc6715,25.4,0.13378131,0.50916762,17.946552,34.500001,0.0208513376547682
ngc6388,10.9,0.51140919,0.87586139,17.974388,32.031457,0.0203469299789922
ngc2808,8.9,0.70913059,0.93551108,15.530645,17.575803,0.0194755436311768
ngc6760,6.9,0.39288021,0.86583973,15.699217,15.73559,0.0193850733346139
ngc6760,6.9,0.39288021,0.86583973,15.699217,15.73559,0.0193850733346139
ngc6760,6.9,0.39288021,0.86583973,15.699217,15.73559,0.0193850733346139
ngc5927,7,0.39288021,0.86583973,15.699217,15.73559,0.019108143715548
ngc5927,7,0.39288021,0.86583973,15.699217,15.73559,0.019108143715548
ngc6441,9.2,0.70293225,0.93475884,15.530645,17.575803,0.0187666054168986
ngc6441,9.2,0.71435644,0.935972,15.530645,17.575803,0.0187386556642087
ngc1851,11.7,0.75865149,0.95920226,12.304534,10.965268,0.01873557807907
ngc2808,8.9,0.34118911,0.84108182,13.665796,20.557681,0.0187033011610804
ngc6139,9.1,2.5633249,0.99096184,9.2193893,11.641186,0.01799948184017
ngc6864,17.7,0.24296392,0.89734911,9.5015537,6.3775923,0.0178661305989866
ngc7078,10,0.31975078,0.83992772,15.164972,16.633379,0.0178287191428978
ngc7078,10,0.3278592,0.84365087,15.164972,16.633379,0.0174230434941649
ngc7078,10,0.70913059,0.93551108,15.530645,17.575803,0.0173332338317474
ngc5824,32.2,0.30015349,0.90829583,11.506553,10.503767,0.0168804011126166
ngc6517,10.1,2.5633249,0.99096184,9.2193893,11.641186,0.0162173549253017
ngc6517,10.1,2.5633249,0.99096184,9.2193893,11.641186,0.0162173549253017
ngc6266,6.6,0.23546068,0.74470913,14.573491,16.022712,0.0159989348536159
ngc2419,90.4,0.36599325,0.90178566,24.931639,18.233254,0.0159565978763029
ngc6715,25.4,0.3401714,0.80550242,33.503586,22.979194,0.0151427937307783
ngc6715,25.4,0.3401714,0.80550242,33.503586,22.979194,0.0151427937307783
ngc5139,4.9,1.6742585,0.96666354,16.584328,22.06651,0.0145057842541899
ngc6254,4.1,0.21671388,0.67994876,16.283503,13.537561,0.0142583290941153
ngc5824,32.2,0.4186224,0.92350152,12.954063,13.301123,0.013640746069114
ngc4590,9.9,2.2907924,0.98344801,13.970365,18.539593,0.013261048503903
ngc6715,25.4,0.93430711,0.9560822,19.290122,19.16144,0.0130694785688911
ngc6715,25.4,0.53323523,0.92342785,17.69228,15.78412,0.0130626589254785
ngc6333,8.1,0.6460348,0.92689484,13.926914,14.63874,0.0129088927200569
ngc6333,8.1,0.6460348,0.92689484,13.926914,14.63874,0.0129088927200569
ngc6333,8.1,0.6460348,0.92689484,13.926914,14.63874,0.0129088927200569
ngc6715,25.4,0.54158459,0.92457616,17.69228,15.78412,0.0128971917504307
ngc6287,8.2,0.6460348,0.92689484,13.926914,14.63874,0.0127514671990806
ngc6287,8.2,0.6460348,0.92689484,13.926914,14.63874,0.0127514671990806
ngc6205,6.8,0.35151111,0.84459142,14.169977,13.447408,0.0123543279252653
ngc6934,14.4,0.24912778,0.79401428,16.283503,13.537561,0.0118155356670092
ngc5139,4.9,0.63925626,0.88650272,21.190868,17.653018,0.0113135729650979
ngc6656,3.1,0.19486661,0.5836503,14.371634,15.72338,0.0111835486836031
ngc6441,9.2,0.37631531,0.85187953,14.876425,15.743232,0.0111767196343637
ngc6441,9.2,0.37913045,0.85291822,14.876425,15.743232,0.0111014437852577
